Stock,Model,MAPE,RMSE,Directional_Accuracy
ABB.NS,LSTM_GRU,0.012226701614189138,80.28551498870728,0.4787234042553192
ABB.NS,CNN,0.014602742033088653,95.23498079814094,0.48936170212765956
ABB.NS,Transformer,0.09843745934274165,538.897758394189,0.43617021276595747
APOLLOHOSP.NS,LSTM_GRU,0.013857343673120663,148.25582077536967,0.5851063829787234
APOLLOHOSP.NS,CNN,0.015652920970231327,162.19759943430478,0.5957446808510638
APOLLOHOSP.NS,Transformer,0.04497828462345022,423.83382110654253,0.5531914893617021
ASTRAL.NS,CNN,0.016515029857501567,30.828280259298886,0.5212765957446809
ASTRAL.NS,LSTM_GRU,0.01795783254760237,34.84535673952303,0.5212765957446809
ASTRAL.NS,Transformer,0.03485333617932345,65.78138896810262,0.40425531914893614
COFORGE.NS,LSTM_GRU,0.023886509310064474,54.066330714509874,0.4787234042553192
COFORGE.NS,CNN,0.025638040457359377,59.3116043292328,0.5212765957446809
COFORGE.NS,Transformer,0.0515269429865532,104.34085919528817,0.4574468085106383
DEEPAKNTR.NS,CNN,0.017687242471315798,36.83330228577914,0.4574468085106383
DEEPAKNTR.NS,LSTM_GRU,0.018457135440806755,37.80396285093674,0.5
DEEPAKNTR.NS,Transformer,0.044556918284097885,89.716281874129,0.4787234042553192
DIXON.NS,LSTM_GRU,0.025676136313146494,481.4363722654688,0.5106382978723404
DIXON.NS,CNN,0.031898103080552055,608.9762240110837,0.5212765957446809
DIXON.NS,Transformer,0.08012747187387335,1558.3480701323435,0.5851063829787234
PERSISTENT.NS,LSTM_GRU,0.021623660315485856,164.70759059551494,0.5425531914893617
PERSISTENT.NS,CNN,0.024748476979911577,190.6605643355142,0.5
PERSISTENT.NS,Transformer,0.09420388978550402,631.3450674756224,0.46808510638297873
