Stock,Model,Pred_Day1,Pred_Day2
DIXON.NS,LSTM_GRU,12245.554,12185.178
DIXON.NS,CNN,12603.378,12537.331
DIXON.NS,Transformer,13643.525,13607.248
DEEPAKNTR.NS,LSTM_GRU,1757.2247,1764.6394
DEEPAKNTR.NS,CNN,1755.6665,1755.6624
DEEPAKNTR.NS,Transformer,1627.1034,1625.6057
ASTRAL.NS,LSTM_GRU,1373.5822,1370.6261
ASTRAL.NS,CNN,1364.9745,1363.7008
ASTRAL.NS,Transformer,1419.9224,1418.849
COFORGE.NS,LSTM_GRU,1680.5955,1673.3735
COFORGE.NS,CNN,1742.8339,1719.8461
COFORGE.NS,Transformer,1715.7783,1714.7056
PERSISTENT.NS,LSTM_GRU,6216.962,6193.717
PERSISTENT.NS,CNN,6369.005,6373.6606
PERSISTENT.NS,Transformer,5715.0044,5708.0767
ABB.NS,LSTM_GRU,5154.7915,5151.3887
ABB.NS,CNN,5035.854,4994.8633
ABB.NS,Transformer,5470.0205,5485.307
APOLLOHOSP.NS,LSTM_GRU,7040.488,7030.123
APOLLOHOSP.NS,CNN,6984.3784,6954.9067
APOLLOHOSP.NS,Transformer,6879.577,6870.9023
